"year","Team","record","wins","games","adjoe","adjde","power_rating","efg","efgd","ftr","ftrd","tov%","tov%d","oreb%","op oreb%","raw_tempo","2p%","2p%d","3p%","3p%d","blk%","blked%","ast%","op_ast%","3p_rate","3p_rate_d","adj_t","avg_hgt","eff_hgt","exp","pake","pase","talent","ft%","op_ft%","off_ppp","def_ppp","elite_sos"
2008,"Memphis","38–2",38,40,116.96297184101,86.068590753435,0.97145180324233,52.7,43.4,40.4,31.7,16.6,22.5,37.8,29.6,70.2,52.9,42.6,34.9,30.2,15,8.2,55.7,49.2,35.2,28.7,70.184705392565,77.74923485003062,80.51799999999999,1.6052420968387349,1.5,1.7105263160000002,82.99504000000002,61.4,68,1.131,0.877,26.16144
2008,"UCLA","34–4",34,38,116.19636938,86.765719348131,0.9663919843057,52.2,46.5,37.3,25.6,19.1,21.8,39.2,27.2,65.3,52.4,45.4,34.4,32.9,10.9,6.8,54.2,50.5,28,27.5,66.074023232067,77.859535273184,81.03200000000001,1.4914982996599315,1,0.7105263160000002,78.46868,73.6,68.5,1.12,0.907,34.070763157895
2008,"Wisconsin","31–5",31,36,112.56972731088,85.390558015464,0.9599932819191,50.6,43.4,39.9,25.4,19.5,21.9,36.2,28.6,62.4,49.3,41.7,35.6,31.3,9.5,8,54.1,50.1,31.8,33,63.119867755744,77.43231349538978,81.07600000000001,1.9392121575684862,-0.2,0.1513157890000001,82.1004,70.5,68.3,1.078,0.872,29.875344444444
2008,"Louisville","27–9",27,36,112.08659187716,86.536100420104,0.95143949169906,53.1,44.1,36.5,33.5,20.2,21.7,33.4,30.9,67.4,53.5,43.1,35,30.5,13.6,7.9,58.2,57.1,38.7,34.6,67.176339261868,77.48812877263582,81.27999999999999,1.6167532986805275,0.5,1.151315789,83.93972,64.7,68.3,1.073,0.91,32.335655555556
2008,"Duke","28–6",28,34,115.83560296608,89.864041279745,0.94880454624709,53.6,47.6,40.9,31.9,18.3,24.7,33.9,33.7,74.1,51.7,47,37.7,32.9,8.8,11.4,51.6,47.6,39.2,25,73.455549528221,77.24258923169995,79.91900000000001,1.23004600920184,-1.2,-1.3289473680000001,95.07419999999999,69.7,67.2,1.119,0.933,34.001805882353
2008,"Texas","30–7",30,37,120.61199571231,93.76954367329,0.94759843329158,51.5,45.7,32,31,14.2,17.9,36.3,33.6,65.3,48.5,43.2,38,33.2,14.2,7.5,48.3,56.2,34.9,38.1,64.726609113062,75.94088770709756,80.494,1.2289542091581676,0.6,0.6710526319999999,81.76668,68.3,68.6,1.143,0.997,36.159418918919
2008,"Georgetown","28–6",28,34,112.95492759729,87.879658336494,0.94718683405485,56.7,41.9,34,36,21.3,19.8,33.1,32.7,62.8,56.2,40.5,38.4,29.6,13.8,8.4,61.6,54.3,40.2,35.5,62.943667512335,77.98045143087464,82.1165,1.7729545909181823,-0.9,-1.3289473680000001,71.16516,65.4,67.8,1.101,0.919,31.275005882353
2008,"Stanford","28–8",28,36,112.79564474386,89.828507945536,0.93202796438316,49.8,44.3,39.6,32.8,18.8,17.7,39.1,29.2,64.4,48,42.1,36.6,33.3,13,6.1,58.3,45.7,27.1,28.3,65.145185077155,78.33792677910323,82.34599999999999,1.859,0.2,0.1513157890000001,64.91164,69.4,66.4,1.086,0.943,34.216233333333
2008,"Marquette","24–10",24,34,114.13529917489,91.090748635663,0.93044698420912,50.6,46.3,37.5,41,18.7,23.9,38.2,33.4,68.8,49,46.7,35.8,30.4,10.2,9.1,56.4,54.7,33.6,31.1,68.56839573217,75.84497090606816,79.7775,1.838664534186326,-0.5,-0.059210525999999986,55.94144,70.5,67.9,1.097,0.936,32.597088235294
2008,"Clemson","23–10",23,33,113.18400664846,90.395098677089,0.92992158761171,51.9,48.1,30.6,33.8,20.3,24.6,39.8,36.4,70.9,49.7,49,37.5,30.4,13.3,8.4,53.3,48.5,33.3,28.6,69.595768844576,77.27852212748682,79.9025,1.6632000000000002,-1.4,-1.157894736,48.79856,62.2,71.7,1.088,0.961,32.822039393939
2008,"Tennessee","30–5",30,35,114.60418066493,91.639474931494,0.92901490099393,52.4,49.1,38,39.6,18.2,24.7,36.2,34.6,72.8,51.5,50.3,35.8,31.2,8.9,10.9,61.1,55,38.9,35.9,72.817445724426,76.57364341085271,79.8655,1.7158568286342737,0.2,-0.32894736800000013,57.613839999999996,65.7,67.4,1.113,0.968,32.679862857143
2008,"Davidson","28–7",28,35,114.66985685633,91.730430126143,0.92869637869412,54.1,49.3,26.3,37.3,17.3,24.3,32.4,28.5,68.1,54.1,47,36.1,35.5,9.3,7,59.1,51.6,40.6,37.8,68.439275053085,77.37126483831354,79.794,1.9962022786328193,1.6,2.388157895,18.502080000000003,72.6,63.5,1.125,0.93,23.531951428571
2008,"Xavier","30–7",30,37,115.51398498785,93.351955253987,0.92053732108583,54.6,47.1,42.4,31.4,19.8,19.6,35.8,30.1,65.5,52.2,45.2,39.1,33.6,9.7,11.1,60.3,58.8,36.5,36.5,65.752548776212,76.610884631064,80.20949999999999,2.037792441511697,1.4,1.151315789,13.330200000000003,74.9,67.7,1.144,0.966,26.372181081081
2008,"Texas A&M","24–11",24,35,112.12426454907,91.137220700777,0.91554316309948,52,44.9,41.8,26.7,19.2,17.4,35,28.1,64.4,51.2,42.2,35.7,33.8,10.2,10.1,53.4,48.8,30.1,31.2,63.800002840772,78.02108309218687,80.885,1.6110777844431112,0.1,0.388157895,61.21415999999999,63.4,66.1,1.073,0.939,32.765388571429
2008,"Kansas St.","20–12",20,32,114.50998592961,93.470735707407,0.91170691423603,49.5,48.3,37.4,38.3,20.8,22.2,42.3,30.3,71.7,50.2,44.9,32,37.2,8.9,8.3,55.4,56.2,32.2,31.5,71.827640228731,77.23810483870966,80.58550000000001,1.161367726454709,0.2,0.361842105,40.01608,69.3,65.6,1.08,0.955,33.149154375
2008,"Drake","26–5",26,31,119.27755596054,97.734110997527,0.90811466669494,52.6,50.4,35.2,23.9,18,24.1,36.7,33.1,63.5,50.5,49.5,36.7,34.5,7.6,10.5,59.6,56.4,46.1,39.4,64.442830315773,75.71888368303118,79.5865,2.2414000000000005,-1.3,-1.157894736,2.5193600000000025,76.8,67.1,1.142,0.974,22.206219354839
2008,"Purdue","25–9",25,34,110.07591522193,90.510326187063,0.9047042330886,49.1,49.1,37.1,42.6,19.1,26,33.1,30.9,66.6,45.3,47.6,37.3,34.8,12.8,9.1,56,55.2,35.7,31.5,68.457518755627,77.69366985548544,80.61999999999999,0.8476000000000004,-0.2,-0.059210525999999986,66.36807999999999,71.2,67,1.038,0.931,30.010891176471
2008,"Pittsburgh","26–10",26,36,116.22254435899,95.864803397767,0.90154685693234,50.8,47.9,36.1,28.6,18.2,20.9,39.3,33.9,65.5,50.8,46.8,33.8,33.4,9.2,8,57.3,52.9,30.4,34.4,65.295391889848,75.96124666803364,78.824,1.7269092363054783,-0.2,-0.5460526320000001,65.1606,66.5,69.4,1.106,0.988,33.492269444444
